SessionStart,CustomerID,FullName,Gender,Age,CreditScore,MonthlyIncome,Country,State,City,Category,Product,Cost,Price,Quantity,CampaignSchema ,CartAdditionTime,OrderConfirmation,OrderConfirmationTime,PaymentMethod,SessionEnd,OrderReturn,ReturnReason,SessionDuration,SessionYear,SessionMonth,SessionDay
2019-01-01 02:42:00,1001,Brittany Franklin,1,57,769,7591.0,2,4,Dongguan,1,table fan,30,50,4,Instagram-ads,2019-01-01 02:49:00,True,2019-01-01 03:02:00,0,2019-01-01 02:53:00,False,Unknown,11.0,2019,1,1
2019-01-02 20:35:00,1002,Scott Stewart,0,69,746,3912.0,2,13,Yantai,2,dress,50,80,6,Google-ads,2019-01-02 20:50:00,True,2019-01-02 20:58:00,2,2019-01-02 20:54:00,False,Unknown,19.0,2019,1,2
2019-01-04 03:11:00,1003,Elizabeth Fowler,0,21,769,7460.0,7,3,Birmingham,4,plush toy,12,20,2,Facebook-ads,2019-01-04 03:30:00,True,2019-01-04 03:40:00,0,2019-01-04 03:35:00,False,Unknown,24.0,2019,1,4
2019-01-05 09:01:00,1004,Julian Wall,0,67,631,4765.0,7,3,Birmingham,4,plush toy,12,20,2,Twitter-ads,2019-01-05 09:17:00,True,2019-01-05 09:26:00,0,2019-01-05 09:20:00,False,Unknown,19.0,2019,1,5
2019-01-05 13:35:00,1005,James Simmons,1,57,630,3286.8,2,13,Yantai,2,shoes,60,100,6,Billboard-QR code,2019-01-05 13:40:00,True,2019-01-05 13:52:00,2,2019-01-05 13:42:00,False,Unknown,7.0,2019,1,5
2019-01-06 21:39:00,1006,Annette Atkins,0,36,660,5350.0,3,8,Nagpur,2,jeans,40,70,1,Instagram-ads,2019-01-06 21:56:00,True,2019-01-06 22:06:00,1,2019-01-06 21:59:00,False,Unknown,20.0,2019,1,6
2019-01-08 22:53:00,1007,Martha Smith,0,47,611,3972.0,7,12,Edinburgh,3,microwave oven,300,500,1,Google-ads,2019-01-08 23:07:00,True,2019-01-08 23:20:00,1,2019-01-08 23:12:00,True,Arrived Damaged,19.0,2019,1,8
2019-01-09 01:48:00,1008,Kristina Ramirez,0,45,627,7455.0,3,8,Mumbai,0,autobiography,20,35,3,Facebook-ads,2019-01-09 01:53:00,True,2019-01-09 02:08:00,2,2019-01-09 01:58:00,False,Unknown,10.0,2019,1,9
2019-01-09 16:29:00,1009,Justin Hardin,1,59,611,3286.8,6,2,Barcelona,2,dress,50,80,1,Billboard-QR code,2019-01-09 16:47:00,True,2019-01-09 16:58:00,0,2019-01-09 16:52:00,True,Poor Value,23.0,2019,1,9
2019-01-10 13:12:00,1010,Jason Rivera,1,25,755,4722.0,7,3,Birmingham,3,electric stove,250,400,4,Google-ads,2019-01-10 13:35:00,False,,4,2019-01-10 13:44:00,Unknown,Unknown,32.0,2019,1,10
2019-01-13 15:41:00,1011,Zachary Roberts,1,60,634,6753.0,8,1,San Jose,2,dress,50,80,1,Billboard-QR code,2019-01-13 16:08:00,True,2019-01-13 16:16:00,0,2019-01-13 16:12:00,True,Wrong Item,31.0,2019,1,13
